First Aurthor,Year,Title,Type
Goodfellow I,2014,Generative adversarial nets,Conference
Mirza M,2014,Conditional generative adversarial nets,arXiv
Makhzani A,2015,Adversarial autoencoders,arXiv
Springenberg J T,2015,Unsupervised and semi-supervised learning with categorical generative adversarial networks,arXiv
Radford A,2015,Unsupervised representation learning with deep convolutional generative adversarial networks,Conference
Denton E L,2015,Deep generative image models using a laplacian pyramid of adversarial networks,Conference
Li Y,2015,Generative moment matching networks,Conference
Dziugaite G K,2015,Training generative neural networks via maximum mean discrepancy optimization,Conference
Theis L,2015,A note on the evaluation of generative models,Conference
Lotter W,2015,Unsupervised learning of visual structure using predictive generative networks,Conference
Liu MY,2016,Coupled generative adversarial networks,Conference
Metz L ,2016,Unrolled generative adversarial networks,Conference
Zhao J,2016,Energy-based generative adversarial network,Conference
Salimans T,2016,Improved Techniques for Training GANs,Conference
Reed S,2016,Generative adversarial text to image synthesis,Conference
Chen X,2016,InfoGAN: Interpretable representation learning by information maximizing generative adversarial nets,Conference
Odena A,2016,Semi-supervised learning with generative adversarial networks,Conference
Che T,2016,Mode regularized generative adversarial networks,Conference
Wang X,2016,Generative image modeling using style and structure adversarial networks,Conference
Ho J ,2016,Generative adversarial imitation learning,Conference
Wu J,2016,Learning a probabilistic latent space of object shapes via 3D generative-adversarial modeling,Conference
Durugkar I,2016,Generative multi-adversarial networks,Conference
Warde-Farley D,2016,Improving generative adversarial networks with denoising feature matching,Conference
Luc P,2016,Semantic segmentation using adversarial networks,Conference
Finn C,2016,"A connection between generative adversarial networks, inverse reinforcement learning, and energy-based models",Conference
Im D,2016,Generating images with recurrent adversarial networks,Conference
Brock A,2016,Neural photo editing with introspective adversarial networks,Conference
Donahue J,2016,Adversarial feature learning,Conference
Jetchev N,2016,Texture synthesis with spatial generative adversarial networks,Conference
Zhu J,2016,Generative visual manipulation on the natural image manifold,Conference
Mogren O,2016,C-RNN-GAN: Continuous recurrent neural networks with adversarial training,Conference
Nowozin S,2016,f-GAN: Training generative neural samplers using variational divergence minimization,Conference
Wang Y,2016,Ensembles of generative adversarial networks,Conference
Dosovitskiy A,2016,Generating images with perceptual similarity metrics based on deep networks,Conference
Wang D,2016,Learning to draw samples: With application to amortized mle for generative adversarial learning,Conference
Mohamed S,2016,Learning in implicit generative models,Conference
Kwak H,2016,Ways of conditioning generative adversarial networks,Conference
Yu X,2016,Ultra-resolving face images by discriminative generative networks,Conference
Wu Y,2016,On the quantitative analysis of decoder-based generative models,Conference
Kwak H,2016,Generating images part by part with composite generative adversarial networks,Conference
Ghosh A,2016,SAD-GAN: Synthetic autonomous driving using generative adversarial network,Conference
Kataoka Y,2016,Image generation using generative adversarial networks and attention mechanism,Conference
Sutherland D,2016,Generative models and model criticism via optimized maximum mean discrepancy,Conference
Ren Y,2016,Conditional generative moment-matching networks,Conference
Vondrick C,2016,Generating videos with scene dynamics,Conference
Poole B,2016,Improved generator objectives for GANs,Conference
Deng Z,2016,Generative adversarial structured networks,Conference
Mao X,2016,Multi-class generative adversarial networks with the L2 loss function,arXiv
Denton E,2016,Semi-supervised learning with context-conditional generative adversarial networks,arXiv
Im D,2016,Generative adversarial nets from a density ratio estimation perspective,arXiv
Zhai S,2016,Generative adversarial networks as variational training of energy based models,arXiv
Volkhonskiy D,2016,Discriminative regularization for generative models,arXiv
Premachandran V,2016,Unsupervised learning using generative adversarial training and clustering,arXiv
Bartunov S,2016,Fast Adaptation in Generative Models with Generative Matching Networks,arXiv
Arjovsky M,2017,Wasserstein generative adversarial networks,Conference
Heusel M,2017,GANs trained by a two time-scale update rule converge to a local nash equilibrium,Conference
Gulrajani I,2017,Improved Training of Wasserstein GANs,Conference
Odena A,2017,Conditional image synthesis with auxiliary classifier GANs,Conference
Mao X,2017,Least squares generative adversarial networks,Conference
Ledig C,2017,Photo-realistic single image super-resolution using a generative adversarial network,Conference
Zhang H,2017,StackGAN: Text to photo-realistic image synthesis with stacked generative adversarial networks,Conference
Berthelot D,2017,BEGAN: Boundary equilibrium generative adversarial networks,Conference
Kim T,2017,Learning to discover cross-domain relations with generative adversarial networks,Conference
Bousmalis K,2017,Unsupervised pixel-level domain adaptation with generative adversarial networks,Conference
